run_id,system,workload,scenario,conflict_ratio,concurrency,total_requests,attempts_total,attempts_committed,attempts_aborted,abort_rate_attempt,requests_total,requests_failed,abort_prob_request,retry_p50,retry_p90,retry_p99,retry_max
79554ac3-83df-4283-9dd3-4f9540cc2487,HLF-ctm-window50-retry-amountvar-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,3602,990,2612,0.725152692948362,1069,79,0.07390084190832553,2,9,10,10
a603c46a-7cf2-4b94-8081-d4af0dffe731,HLF-baseline-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,2000,1889,111,0.0555,2000,111,0.0555,1,1,1,1
3700fd30-1592-48d3-9fd8-1e9d07850593,HLF-baseline-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,2000,1136,864,0.432,2000,864,0.432,1,1,1,1
94fbb8e5-a7d0-462a-87c8-1e3ab29485d1,HLF-baseline-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,2000,521,1479,0.7395,2000,1479,0.7395,1,1,1,1
f810f013-fd54-4e5d-ac0b-803e47cb528e,HLF-value-then-key-window50-noretry-cr0.1,smallbank_transfer,hot_accounts,0.1,20,2000,1857,1766,91,0.04900376952073236,1857,91,0.04900376952073236,1,1,1,1
c750f668-ec3a-4293-8191-e80bfade760e,HLF-value-then-key-window50-noretry-cr0.5,smallbank_transfer,hot_accounts,0.5,20,2000,1346,991,355,0.2637444279346211,1346,355,0.2637444279346211,1,1,1,1
fe9600d3-dd60-4641-b614-732f367bcc3b,HLF-value-then-key-window50-noretry-cr0.9,smallbank_transfer,hot_accounts,0.9,20,2000,653,251,402,0.6156202143950995,653,402,0.6156202143950995,1,1,1,1
739b009b-cf8d-4b81-8671-356db6a4ff39,HLF-bookkeeping-baseline-window50-noretry-cr0.1,bookkeeping_tx,hot_accounts,0.1,20,2000,2000,1967,33,0.0165,2000,33,0.0165,1,1,1,1
38945438-cedd-4ad6-b175-dd2162328f82,HLF-bookkeeping-merge-window50-noretry-cr0.1,bookkeeping_tx,hot_accounts,0.1,20,2000,1930,1930,0,0,1930,0,0,1,1,1,1
f0f98f48-4de4-4f4c-83d9-8e03e773617f,HLF-bookkeeping-baseline-window50-noretry-cr0.5,bookkeeping_tx,hot_accounts,0.5,20,2000,2000,1626,374,0.187,2000,374,0.187,1,1,1,1
12f0dc21-3eb0-4597-8319-b3c28d9486b1,HLF-bookkeeping-merge-window50-noretry-cr0.5,bookkeeping_tx,hot_accounts,0.5,20,2000,1352,1352,0,0,1352,0,0,1,1,1,1
